Frequency(Hz), Magnitude(dB),  Phase(deg)
   30.566, 118.927010, -158.415405
   30.949, 118.927673, -159.544388
   31.337, 118.927162, -160.669357
   31.730, 118.925552, -161.790558
   32.127, 118.922844, -162.907867
   32.530, 118.919037, -164.021210
   32.937, 118.914124, -165.130493
   33.350, 118.908127, -166.236099
   33.768, 118.901016, -167.338318
   34.191, 118.892807, -168.437317
   34.619, 118.883499, -169.533386
   35.053, 118.873100, -170.626694
   35.492, 118.861603, -171.717072
   35.937, 118.848999, -172.804321
   36.387, 118.835335, -173.888351
   36.843, 118.820602, -174.969116
   37.305, 118.804855, -176.046600
   37.772, 118.788132, -177.120728
   38.246, 118.770439, -178.191040
   38.725, 118.751785, -179.256958
   39.210, 118.732193, 179.681824
   39.701, 118.711670, 178.625381
   40.199, 118.690247, 177.573700
   40.703, 118.667915, 176.526825
   41.213, 118.644684, 175.484772
   41.729, 118.620529, 174.447342
   42.252, 118.595459, 173.414322
   42.781, 118.569450, 172.385696
   43.317, 118.542488, 171.361191
   43.860, 118.514549, 170.340714
   44.410, 118.485550, 169.323715
   44.966, 118.455391, 168.309830
   45.530, 118.423988, 167.299133
   46.100, 118.391281, 166.291687
   46.678, 118.357346, 165.287567
   47.263, 118.322365, 164.287903
   47.855, 118.286583, 163.292892
   48.454, 118.250237, 162.302200
   49.062, 118.213486, 161.315582
   49.676, 118.176414, 160.332443
   50.299, 118.139084, 159.351318
   50.929, 118.101540, 158.372070
   51.567, 118.063797, 157.394501
   52.213, 118.025711, 156.418198
   52.868, 117.987061, 155.444473
   53.530, 117.947540, 154.473602
   54.201, 117.906891, 153.504532
   54.880, 117.865021, 152.537704
   55.567, 117.822006, 151.574631
   56.264, 117.778046, 150.615463
   56.969, 117.733315, 149.660110
   57.683, 117.687927, 148.709229
   58.405, 117.641861, 147.761658
   59.137, 117.595070, 146.816864
   59.878, 117.547531, 145.874496
   60.628, 117.499275, 144.932892
   61.388, 117.450333, 143.994751
   62.157, 117.400681, 143.059799
   62.936, 117.350250, 142.127762
   63.725, 117.299026, 141.197098
   64.523, 117.247086, 140.267441
   65.332, 117.194672, 139.339203
   66.150, 117.141945, 138.412750
   66.979, 117.088860, 137.489273
   67.818, 117.035225, 136.569275
   68.668, 116.980865, 135.653046
   69.529, 116.925880, 134.740402
   70.400, 116.870514, 133.827896
   71.282, 116.814926, 132.915497
   72.175, 116.759033, 132.003769
   73.079, 116.702660, 131.093155
   73.995, 116.645706, 130.184021
   74.922, 116.588257, 129.276184
   75.861, 116.530449, 128.369263
   76.812, 116.472321, 127.463036
   77.774, 116.413765, 126.557030
   78.749, 116.354607, 125.651047
   79.735, 116.294823, 124.745255
   80.734, 116.234657, 123.839981
   81.746, 116.174500, 122.935989
   82.770, 116.114540, 122.033691
   83.807, 116.054619, 121.137077
   84.858, 115.994476, 120.246017
   85.921, 115.933914, 119.355225
   86.997, 115.872765, 118.461807
   88.087, 115.810738, 117.565414
   89.191, 115.747841, 116.666008
   90.309, 115.684067, 115.763634
   91.440, 115.619431, 114.862022
   92.586, 115.553909, 113.965462
   93.746, 115.487793, 113.070473
   94.921, 115.421814, 112.171501
   96.110, 115.356590, 111.262848
   97.315, 115.292252, 110.349373
   98.534, 115.228592, 109.436775
   99.769, 115.165283, 108.526642
  101.019, 115.102112, 107.618042
  102.284, 115.038803, 106.710983
  103.566, 114.975044, 105.805824
  104.864, 114.910522, 104.899460
  106.178, 114.845436, 103.990555
  107.508, 114.779999, 103.079132
  108.855, 114.713928, 102.157272
  110.219, 114.647049, 101.227440
  111.600, 114.579437, 100.307114
  112.999, 114.511375, 99.392273
  114.414, 114.443420, 98.463783
  115.848, 114.376183, 97.525589
  117.300, 114.309509, 96.588158
  118.769, 114.242645, 95.649773
  120.258, 114.174744, 94.707779
  121.764, 114.105743, 93.761604
  123.290, 114.036186, 92.821716
  124.835, 113.966362, 91.889946
  126.399, 113.895767, 90.957626
  127.983, 113.823914, 90.024399
  129.587, 113.750824, 89.095306
  131.210, 113.677795, 88.178581
  132.854, 113.606255, 87.250824
  134.519, 113.536797, 86.270226
  136.205, 113.467674, 85.319687
  137.911, 113.396408, 84.415970
  139.639, 113.320465, 83.536705
  141.389, 113.241356, 82.686562
  143.161, 113.163948, 81.884758
  144.954, 113.092201, 81.086334
  146.771, 113.026794, 80.275063
  148.610, 112.965851, 79.458260
  150.472, 112.910164, 78.657433
  152.357, 112.863281, 77.861908
  154.266, 112.829430, 77.070755
  156.199, 112.809280, 76.222252
  158.156, 112.799194, 75.292694
  160.138, 112.792908, 74.297417
  162.145, 112.783951, 73.223885
  164.176, 112.769714, 72.068352
  166.234, 112.751015, 70.886703
  168.316, 112.727341, 69.672318
  170.426, 112.697487, 68.403625
  172.561, 112.659607, 67.089737
  174.723, 112.614853, 65.760620
  176.912, 112.564552, 64.447472
  179.129, 112.509697, 63.132690
  181.374, 112.451279, 61.827324
  183.646, 112.390663, 60.526836
  185.947, 112.329391, 59.235241
  188.277, 112.267876, 57.949314
  190.636, 112.205956, 56.665260
  193.025, 112.143997, 55.383892
  195.444, 112.082405, 54.106289
  197.893, 112.021774, 52.824402
  200.372, 111.962143, 51.543957
  202.883, 111.903831, 50.250565
  205.425, 111.846603, 48.947884
  207.999, 111.789673, 47.635124
  210.605, 111.733368, 46.322853
  213.244, 111.677444, 45.006374
  215.916, 111.622002, 43.672218
  218.622, 111.567520, 42.325554
  221.361, 111.514778, 40.969650
  224.135, 111.463699, 39.598694
  226.943, 111.413254, 38.206322
  229.787, 111.362953, 36.791077
  232.666, 111.312958, 35.367805
  235.581, 111.263741, 33.929119
  238.533, 111.215271, 32.476173
  241.522, 111.167213, 31.005362
  244.548, 111.118988, 29.503702
  247.613, 111.070023, 28.001690
  250.715, 111.020584, 26.482737
  253.857, 110.970978, 24.946901
  257.037, 110.922348, 23.386665
  260.258, 110.875000, 21.822336
  263.519, 110.828201, 20.246092
  266.821, 110.781418, 18.649931
  270.164, 110.734970, 17.039728
  273.550, 110.689156, 15.402285
  276.977, 110.643890, 13.745282
  280.448, 110.599525, 12.084999
  283.962, 110.555435, 10.391987
  287.520, 110.512604, 8.680614
  291.122, 110.470192, 6.943670
  294.770, 110.428627, 5.206506
  298.464, 110.387604, 3.430658
  302.204, 110.347198, 1.636941
  305.990, 110.307228, -0.174562
  309.824, 110.268105, -2.009534
  313.706, 110.230141, -3.865077
  317.637, 110.193520, -5.741276
  321.617, 110.156563, -7.648238
  325.647, 110.119919, -9.564953
  329.727, 110.083244, -11.511611
  333.859, 110.047905, -13.486875
  338.042, 110.012428, -15.495060
  342.278, 109.978088, -17.507452
  346.567, 109.944267, -19.564104
  350.909, 109.910553, -21.637640
  355.306, 109.876862, -23.748579
  359.758, 109.843834, -25.866402
  364.266, 109.812317, -28.030344
  368.830, 109.781403, -30.206604
  373.452, 109.750626, -32.428432
  378.131, 109.719986, -34.668385
  382.869, 109.690865, -36.950592
  387.666, 109.663628, -39.243683
  392.524, 109.636543, -41.574879
  397.442, 109.610550, -43.928070
  402.422, 109.585106, -46.317245
  407.465, 109.560043, -48.721909
  412.570, 109.535667, -51.166050
  417.740, 109.512642, -53.640793
  422.974, 109.491570, -56.163399
  428.274, 109.469635, -58.705402
  433.640, 109.447021, -61.289486
  439.074, 109.424217, -63.889549
  444.575, 109.402420, -66.459801
  450.146, 109.381653, -69.138298
  455.786, 109.361198, -71.830101
  461.497, 109.340515, -74.556610
